,occurrenceID,scientificName,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,country,locality,waterBody,eventDate,depth,minimumDepthInMeters,maximumDepthInMeters,sst,sss,basisOfRecord,individualCount,establishmentMeans,redlist_category,institutionCode,recordedBy
14,IO/DV/ECD/00356,Comanthus wahlbergii,Animalia,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comanthus,Comanthus wahlbergii,10.869,72.206,India,"Agatti, Lakshadweep",Arabian Sea,2018-10-11,21.0,21.0,21.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
15,IO/DV/ECD/00357,Comaster schlegelii,Animalia,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comaster,Comaster schlegelii,11.131,72.717,India,"Kavaratti, Lakshadweep",Arabian Sea,2018-06-05,15.0,15.0,15.0,28.83,35.13,Preservedspecimen,1,Unclassified,,CMLRE,
16,IO/DV/ECD/00358,Himerometra robustipinna,Animalia,Echinodermata,Crinoidea,Comatulida,Himerometridae,Himerometra,Himerometra robustipinna,10.867,72.167,India,"Kavaratti, Lakshadweep",Arabian Sea,2018-12-12,16.0,16.0,16.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
17,IO/DV/ECD/00367,Fromia monilis,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Fromia,Fromia monilis,10.861,72.21,India,"Agatti, Lakshadweep",Arabian Sea,,24.0,24.0,24.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
18,IO/DV/ECD/00369,Fromia milleporella,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Fromia,Fromia milleporella,10.861,72.21,India,"Agatti, Lakshadweep",Arabian Sea,,24.0,24.0,24.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
19,IO/DV/ECD/00370,Mithrodia clavigera,Animalia,Echinodermata,Asteroidea,Valvatida,Mithrodiidae,Mithrodia,Mithrodia clavigera,10.861,72.21,India,"Agatti, Lakshadweep",Arabian Sea,,24.0,24.0,24.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
20,IO/DV/ECD/00372,Aquilonastra burtoni,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Aquilonastra,Aquilonastra burtoni,10.861,72.21,India,"Agatti, Lakshadweep",Arabian Sea,,24.0,24.0,24.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
21,IO/DV/ECD/00418,Pearsonothuria graeffei,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Pearsonothuria,Pearsonothuria graeffei,10.869,72.206,India,"Agatti, Lakshadweep",Arabian Sea,2018-07-05,15.0,15.0,15.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
22,IO/DV/GAS/00021,Baeolidia moebii,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Baeolidia,Baeolidia moebii,10.86,72.18,India,Agatti Island (Lagoon),Arabian Sea,2018-03-05,10.0,10.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
23,IO/DV/GAS/00022,Anteaeolidiella oliviae,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Anteaeolidiella,Anteaeolidiella oliviae,10.86,72.18,India,Agatti Island (Lagoon),Arabian Sea,2018-03-05,10.0,10.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
24,IO/DV/GAS/00023,Phyllidia alyta,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidia,Phyllidia alyta,10.86,72.18,India,Agatti Island (Lagoon),Arabian Sea,2018-01-05,18.0,18.0,18.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
25,IO/DV/GAS/00024,Chelidonura hirundinina,Animalia,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Chelidonura,Chelidonura hirundinina,10.86,72.2,India,Agatti Island (Eatern Jetty),Arabian Sea,2018-03-05,10.0,10.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
26,IO/DV/GAS/00025,Phyllidiella zeylanica,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidiella,Phyllidiella zeylanica,10.86,72.2,India,Agatti Island (Eatern Jetty),Arabian Sea,2018-04-05,10.0,10.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
27,IO/DV/GAS/00027,Phyllidiella rosans,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidiella,Phyllidiella rosans,10.87,72.17,India,Outside Lagoon (Agatti Island),Arabian Sea,2018-08-05,15.0,15.0,15.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
28,IO/DV/GAS/00028,Phyllidiopsis phiphiensis,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidiopsis,Phyllidiopsis phiphiensis,10.87,72.17,India,Outside Lagoon (Agatti Island),Arabian Sea,2018-08-05,15.0,15.0,15.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
29,IO/DV/GAS/00029,Verconia norba,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Verconia,Verconia norba,10.87,72.17,India,Outside Lagoon (Agatti Island),Arabian Sea,2018-08-05,15.0,15.0,15.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
30,IO/DV/GAS/00036,Phyllidia marindica,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidia,Phyllidia marindica,10.94,72.22,India,Agatti Island (Western Side),Arabian Sea,2019-01-02,22.0,22.0,22.0,28.79,35.25,Preservedspecimen,1,Unclassified,,CMLRE,
31,IO/DV/GAS/00037,Halgerda tessellata,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Halgerda,Halgerda tessellata,10.84,72.19,India,Agatti Island (Solar Point Dive Site),Arabian Sea,2019-02-02,28.0,28.0,28.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
32,IO/DV/GAS/00045,Phyllidia alyta,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidia,Phyllidia alyta,16.21,72.09,India,Angria Bank,Arabian Sea,,32.0,32.0,32.0,28.65,35.68,Preservedspecimen,1,Unclassified,,CMLRE,
33,IO/DV/GAS/00046,Taringa sublutea,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Taringa,Taringa sublutea,16.24,72.06,India,Angria Bank,Arabian Sea,2019-10-05,35.0,35.0,35.0,28.65,35.71,Preservedspecimen,1,Unclassified,,CMLRE,
34,IO/DV/GAS/00047,Phyllidia ocellata,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidia,Phyllidia ocellata,10.86,72.2,India,Near Eastern Jetty (Agatti Island),Arabian Sea,2018-07-05,15.0,15.0,15.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
35,IO/DV/GAS/00048,Diniatys dubius,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Diniatys,Diniatys dubius,10.86,72.18,India,Agatti Island (Lagoon),Arabian Sea,2018-03-05,10.0,10.0,10.0,28.79,35.23,Preservedspecimen,2,Unclassified,,CMLRE,
36,IO/DV/GAS/00049,Diniatys dubius,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Diniatys,Diniatys dubius,10.86,72.18,India,Agatti Island (Lagoon),Arabian Sea,2018-03-05,10.0,10.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
37,IO/DV/GAS/00050,Diniatys dubius,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Diniatys,Diniatys dubius,10.86,72.18,India,Agatti Island (Lagoon),Arabian Sea,2018-03-05,10.0,10.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
38,IO/DV/POY/00002,Pseudobiceros hymanae,Animalia,Platyhelminthes,Unclassified,Polycladida,Pseudocerotidae,Pseudobiceros,Pseudobiceros hymanae,10.87,72.17,India,Eastern Jetty (Agatti Island),Arabian Sea,2018-03-05,15.0,15.0,15.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
39,IO/DV/POY/00004,Pseudoceros bicolor,Animalia,Platyhelminthes,Unclassified,Polycladida,Pseudocerotidae,Pseudoceros,Pseudoceros bicolor,10.87,72.18,India,Eastern Jetty (Agatti Island),Arabian Sea,2018-05-05,15.0,15.0,15.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
40,IO/DV/POY/00028,Pseudoceros bipurpureus,Animalia,Platyhelminthes,Unclassified,Polycladida,Pseudocerotidae,Pseudoceros,Pseudoceros bipurpureus,10.84,72.19,India,"Solar Point, Agatti Island",Arabian Sea,2019-06-05,32.0,32.0,32.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
41,IO/IT/CAR/00123,Alpheus frontalis,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus frontalis,10.83,72.19,India,"Agatti Island, Lakshadweep",Arabian Sea,,,,,28.79,35.23,Preservedspecimen,3,Unclassified,,CMLRE,
42,IO/IT/CAR/00124,Alpheus lottini,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,Alpheus lottini,10.83,72.19,India,"Agatti Island, Lakshadweep",Arabian Sea,,,,,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
43,IO/SS/FIS/00326,Ostracoberyx dorygenys,Animalia,Chordata,Teleostei,Acropomatiformes,Ostracoberycidae,Ostracoberyx,Ostracoberyx dorygenys,13.00166667,93.10972222,India,Off North Andaman,Andaman Sea,,308.0,308.0,308.0,28.86,32.14,Preservedspecimen,3,Unclassified,,CMLRE,
44,IO/IT/CAR/00125,Alpheus,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,,10.83,72.19,India,"Agatti Island, Lakshadweep",Arabian Sea,,,,,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
45,IO/IT/CAR/00126,Hymenocera picta,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Hymenocera,Hymenocera picta,10.83,72.19,India,"Agatti Island, Lakshadweep",Arabian Sea,,,,,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
46,IO/IT/ECD/00142,Echinothrix calamaris,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Echinothrix,Echinothrix calamaris,10.5,73.0,India,"Agatti, Lakshadweep",Arabian Sea,,1.0,1.0,1.0,28.88,34.99,Preservedspecimen,1,Unclassified,,CMLRE,
47,IO/IT/ECD/00160,Tripneustes gratilla,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Tripneustes,Tripneustes gratilla,10.844529,72.18395,India,"Agatti, Lakshadweep",Arabian Sea,2018-07-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
48,IO/IT/ECD/00195,Macrophiothrix longipeda,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Macrophiothrix,Macrophiothrix longipeda,10.559824,72.627216,India,"Kavaratti, Lakshadweep",Arabian Sea,2016-12-12,1.0,1.0,1.0,28.85,35.09,Preservedspecimen,1,Unclassified,,CMLRE,
49,IO/IT/ECD/00196,Macrophiothrix demessa,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Macrophiothrix,Macrophiothrix demessa,10.559824,72.627216,India,"Kavaratti, Lakshadweep",Arabian Sea,2016-12-12,1.0,1.0,1.0,28.85,35.09,Preservedspecimen,1,Unclassified,,CMLRE,
50,IO/IT/ECD/00221,Fromia milleporella,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Fromia,Fromia milleporella,10.844529,72.18395,India,"Agatti, Lakshadweep",Arabian Sea,2018-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
51,IO/IT/ECD/00222,Linckia laevigata,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia laevigata,10.844529,72.18395,India,"Agatti, Lakshadweep",Arabian Sea,2018-07-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
52,IO/IT/ECD/00229,Ophiocoma cynthiae,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiocoma,Ophiocoma cynthiae,10.8455,72.1891,India,"Agatti, Lakshadweep",Arabian Sea,2019-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
53,IO/IT/ECD/00230,Ophiocoma cynthiae,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiocoma,Ophiocoma cynthiae,10.845,72.188,India,"Agatti, Lakshadweep",Arabian Sea,2019-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
54,IO/IT/ECD/00231,Echinometra mathaei,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra mathaei,10.8455,72.1891,India,"Agatti, Lakshadweep",Arabian Sea,2019-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,2,Unclassified,,CMLRE,
55,IO/IT/ECD/00234,Ophiomoeris obstricta,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiomoeris,Ophiomoeris obstricta,10.547,72.64,India,"Kavaratti, Lakshadweep",Arabian Sea,2019-12-12,350.0,350.0,350.0,28.85,35.09,Preservedspecimen,1,Unclassified,,CMLRE,
56,IO/IT/ECD/00235,Ophiomoeris obstricta,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiomoeris,Ophiomoeris obstricta,10.547,72.64,India,"Kavaratti, Lakshadweep",Arabian Sea,2019-12-12,350.0,350.0,350.0,28.85,35.09,Preservedspecimen,1,Unclassified,,CMLRE,
57,IO/IT/ECD/00236,Heterocentrotus mamillatus,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Heterocentrotus,Heterocentrotus mamillatus,10.8779,72.2038,India,"Agatti, Lakshadweep",Arabian Sea,2018-05-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
58,IO/IT/ECD/00237,Echinothrix diadema,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Echinothrix,Echinothrix diadema,10.849,72.188,India,"Agatti, Lakshadweep",Arabian Sea,2018-04-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
59,IO/IT/ECD/00238,Diadema savignyi,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,Diadema savignyi,10.849,72.188,India,"Agatti, Lakshadweep",Arabian Sea,2018-04-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
60,IO/IT/ECD/00239,Tripneustes gratilla,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Tripneustes,Tripneustes gratilla,10.8455,72.1891,India,"Agatti, Lakshadweep",Arabian Sea,2018-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,2,Unclassified,,CMLRE,
61,IO/IT/ECD/00240,Breviturma dentata,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Breviturma,Breviturma dentata,10.8455,72.1891,India,"Agatti, Lakshadweep",Arabian Sea,2018-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,7,Unclassified,,CMLRE,
62,IO/IT/ECD/00242,Asteropsis carinifera,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Asteropsis,Asteropsis carinifera,10.849,72.188,India,"Agatti, Lakshadweep",Arabian Sea,2018-04-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
63,IO/IT/ECD/00243,Linckia laevigata,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia laevigata,10.849,72.188,India,"Agatti, Lakshadweep",Arabian Sea,2018-04-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
64,IO/IT/ECD/00260,Toxopneustes pileolus,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Toxopneustes,Toxopneustes pileolus,10.8455,72.1891,India,"Agatti, Lakshadweep",Arabian Sea,2018-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
65,IO/IT/ECD/00268,Breviturma dentata,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Breviturma,Breviturma dentata,10.849,72.188,India,"Agatti, Lakshadweep",Arabian Sea,2018-04-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
66,IO/IT/ECD/00274,Breviturma dentata,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Breviturma,Breviturma dentata,10.56111,72.64722,India,"Kavaratti, Lakshadweep",Arabian Sea,,1.0,1.0,1.0,28.85,35.09,Preservedspecimen,1,Unclassified,,CMLRE,
67,IO/IT/ECD/00275,Breviturma brevipes,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Breviturma,Breviturma brevipes,11.48222,73.00917,India,"Kiltan, Lakshadweep",Arabian Sea,,1.0,1.0,1.0,28.85,35.11,Preservedspecimen,1,Unclassified,,CMLRE,
68,IO/IT/ECD/00276,Culcita schmideliana,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Culcita,Culcita schmideliana,11.11889,72.71083,India,"Amini, Lakshadweep",Arabian Sea,,1.0,1.0,1.0,28.83,35.13,Preservedspecimen,1,Unclassified,,CMLRE,
69,IO/IT/ECD/00334,Breviturma dentata,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Breviturma,Breviturma dentata,10.8455,72.1891,India,"Agatti, Lakshadweep",Arabian Sea,2019-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,2,Unclassified,,CMLRE,
70,IO/IT/ECD/00335,Echinothrix diadema,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Echinothrix,Echinothrix diadema,10.8455,72.1891,India,"Agatti, Lakshadweep",Arabian Sea,2019-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
71,IO/IT/ECD/00363,Diadema savignyi,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,Diadema savignyi,10.8455,72.1891,India,"Agatti, Lakshadweep",Arabian Sea,,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,2,Unclassified,,CMLRE,
72,IO/IT/ECD/00368,Linckia multifora,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,Linckia multifora,10.844529,72.18395,India,"Agatti, Lakshadweep",Arabian Sea,2018-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,3,Unclassified,,CMLRE,
73,IO/IT/ECD/00371,Breviturma pica,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Breviturma,Breviturma pica,10.844529,72.18395,India,"Agatti, Lakshadweep",Arabian Sea,2018-06-11,1.0,1.0,1.0,28.79,35.23,Preservedspecimen,3,Unclassified,,CMLRE,
74,IO/IT/ECD/00382,Aquilonastra burtoni,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Aquilonastra,Aquilonastra burtoni,18.94242,72.79306,India,Mumbai,Arabian Sea,,0.0,0.0,0.0,27.79,35.46,Preservedspecimen,1,Unclassified,,CMLRE,
75,IO/IT/ECD/00383,Macrophiothrix speciosa,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Macrophiothrix,Macrophiothrix speciosa,18.94242,72.79306,India,Mumbai,Arabian Sea,,0.0,0.0,0.0,27.79,35.46,Preservedspecimen,2,Unclassified,,CMLRE,
76,IO/IT/ECD/00429,Amphipholis squamata,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,Amphipholis squamata,10.57,72.64,India,"Kavaratti, Lakshadweep",Arabian Sea,,1.0,1.0,1.0,28.85,35.09,Preservedspecimen,1,Unclassified,,CMLRE,
77,IO/IT/GAS/00026,Pleurobranchus peronii,Animalia,Mollusca,Gastropoda,Pleurobranchida,Pleurobranchidae,Pleurobranchus,Pleurobranchus peronii,10.86,72.2,India,Eastern Jetty (Agatti Island),Arabian Sea,2018-06-05,0.0,0.0,0.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
78,IO/IT/GAS/00030,Dolabrifera dolabrifera,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Dolabrifera,Dolabrifera dolabrifera,10.86,72.2,India,Eastern Jetty (Agatti Island),Arabian Sea,2018-11-05,0.0,0.0,0.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
79,IO/IT/GAS/00031,Peltodoris murrea,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Peltodoris,Peltodoris murrea,10.86,72.2,India,Eastern Jetty (Agatti Island),Arabian Sea,2018-11-05,0.0,0.0,0.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
80,IO/IT/GAS/00032,Pleurobranchus grandis,Animalia,Mollusca,Gastropoda,Pleurobranchida,Pleurobranchidae,Pleurobranchus,Pleurobranchus grandis,10.84,72.18,India,Cmlre Hatchery (Agatti Island),Arabian Sea,,0.0,0.0,0.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
81,IO/IT/GAS/00033,Pleurobranchus forskalii,Animalia,Mollusca,Gastropoda,Pleurobranchida,Pleurobranchidae,Pleurobranchus,Pleurobranchus forskalii,10.83,72.19,India,Opposite Solar Power Plant (Agatti Island),Arabian Sea,,0.0,0.0,0.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
82,IO/IT/GAS/00034,Plakobranchus ocellatus,Animalia,Mollusca,Gastropoda,,Plakobranchidae,Plakobranchus,Plakobranchus ocellatus,10.86,72.2,India,Eastern Jetty (Agatti Island),Arabian Sea,2018-04-11,0.0,0.0,0.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
83,IO/IT/GAS/00035,Dendrodoris nigra,Animalia,Mollusca,Gastropoda,Nudibranchia,Dendrodorididae,Dendrodoris,Dendrodoris nigra,10.86,72.2,India,Eastern Jetty (Agatti Island),Arabian Sea,2018-04-11,0.0,0.0,0.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
84,IO/IT/GAS/00038,Tenellia lugubris,Animalia,Mollusca,Gastropoda,Nudibranchia,Trinchesiidae,Tenellia,Tenellia lugubris,10.83,72.19,India,Opposite Solar Power Plant (Agatti Island),Arabian Sea,,0.0,0.0,0.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
